filename,cc,loc,ncc,ic
./kafka\clients\src\main\java\org\apache\kafka\clients\ApiVersions.java,1,4,0,44.0
./kafka\clients\src\main\java\org\apache\kafka\clients\ClientDnsLookup.java,1,3,0,16.0
./kafka\clients\src\main\java\org\apache\kafka\clients\ClientRequest.java,1,17,0,166.75
./kafka\clients\src\main\java\org\apache\kafka\clients\ClientResponse.java,1,20,0,304.75
./kafka\clients\src\main\java\org\apache\kafka\clients\ClientUtils.java,1,2,0,961.5
./kafka\clients\src\main\java\org\apache\kafka\clients\ClusterConnectionStates.java,1,18,0,814.0
./kafka\clients\src\main\java\org\apache\kafka\clients\CommonClientConfigs.java,3,12,0,727.0
./kafka\clients\src\main\java\org\apache\kafka\clients\ConnectionState.java,2,3,0,9.0
./kafka\clients\src\main\java\org\apache\kafka\clients\DefaultHostResolver.java,1,3,0,5.0
./kafka\clients\src\main\java\org\apache\kafka\clients\FetchSessionHandler.java,1,4,0,1513.75
./kafka\clients\src\main\java\org\apache\kafka\clients\GroupRebalanceConfig.java,1,3,0,160.0
./kafka\clients\src\main\java\org\apache\kafka\clients\HostResolver.java,0,0,0,1.0
./kafka\clients\src\main\java\org\apache\kafka\clients\InFlightRequests.java,1,3,0,219.25
./kafka\clients\src\main\java\org\apache\kafka\clients\KafkaClient.java,0,0,0,237.0
./kafka\clients\src\main\java\org\apache\kafka\clients\ManualMetadataUpdater.java,1,3,0,48.0
./kafka\clients\src\main\java\org\apache\kafka\clients\Metadata.java,1,19,0,1054.5
./kafka\clients\src\main\java\org\apache\kafka\clients\MetadataCache.java,1,10,0,426.0
./kafka\clients\src\main\java\org\apache\kafka\clients\MetadataUpdater.java,0,0,0,57.5
./kafka\clients\src\main\java\org\apache\kafka\clients\NetworkClient.java,1,32,0,3211.25
./kafka\clients\src\main\java\org\apache\kafka\clients\NetworkClientUtils.java,1,1,0,192.5
./kafka\clients\src\main\java\org\apache\kafka\clients\NodeApiVersions.java,1,3,0,378.5
./kafka\clients\src\main\java\org\apache\kafka\clients\RequestCompletionHandler.java,0,0,0,1.0
./kafka\clients\src\main\java\org\apache\kafka\clients\StaleMetadataException.java,1,1,0,6.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\AbortTransactionOptions.java,1,5,0,11.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\AbortTransactionResult.java,1,3,0,17.5
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\AbortTransactionSpec.java,1,11,0,84.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\AbstractOptions.java,1,4,0,21.5
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\Admin.java,1,3,0,1861.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\AdminClient.java,1,3,0,22.5
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\AdminClientConfig.java,1,4,0,1051.75
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\AlterClientQuotasOptions.java,1,3,0,18.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\AlterClientQuotasResult.java,1,3,0,26.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\AlterConfigOp.java,1,3,0,131.25
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\AlterConfigsOptions.java,1,4,0,31.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\AlterConfigsResult.java,1,3,0,20.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\AlterConsumerGroupOffsetsOptions.java,0,0,0,0.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\AlterConsumerGroupOffsetsResult.java,1,3,0,126.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\AlterPartitionReassignmentsOptions.java,0,0,0,0.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\AlterPartitionReassignmentsResult.java,1,3,0,28.75
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\AlterReplicaLogDirsOptions.java,0,0,0,0.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\AlterReplicaLogDirsResult.java,1,3,0,45.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\AlterUserScramCredentialsOptions.java,0,0,0,0.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\AlterUserScramCredentialsResult.java,1,3,0,27.25
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\Config.java,2,5,0,55.5
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\ConfigEntry.java,1,4,0,444.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\ConsumerGroupDescription.java,1,8,0,241.5
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\ConsumerGroupListing.java,1,3,0,130.25
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\CreateAclsOptions.java,1,4,0,13.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\CreateAclsResult.java,1,3,0,21.25
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\CreateDelegationTokenOptions.java,1,4,0,33.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\CreateDelegationTokenResult.java,1,3,0,12.5
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\CreatePartitionsOptions.java,1,2,0,38.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\CreatePartitionsResult.java,1,3,0,21.25
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\CreateTopicsOptions.java,1,4,0,49.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\CreateTopicsResult.java,1,3,0,190.25
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\DeleteAclsOptions.java,1,4,0,13.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\DeleteAclsResult.java,1,4,0,154.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\DeleteConsumerGroupOffsetsOptions.java,0,0,0,0.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\DeleteConsumerGroupOffsetsResult.java,1,4,0,146.75
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\DeleteConsumerGroupsOptions.java,0,0,0,0.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\DeleteConsumerGroupsResult.java,1,3,0,25.25
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\DeletedRecords.java,1,3,0,18.5
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\DeleteRecordsOptions.java,0,0,0,0.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\DeleteRecordsResult.java,1,3,0,21.25
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\DeleteTopicsOptions.java,1,4,0,31.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\DeleteTopicsResult.java,5,8,0,67.5
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\DescribeAclsOptions.java,1,4,0,13.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\DescribeAclsResult.java,1,3,0,12.5
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\DescribeClientQuotasOptions.java,0,0,0,0.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\DescribeClientQuotasResult.java,1,3,0,19.75
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\DescribeClusterOptions.java,1,4,0,28.75
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\DescribeClusterResult.java,1,9,0,67.25
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\DescribeConfigsOptions.java,1,4,0,49.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\DescribeConfigsResult.java,1,3,0,121.25
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\DescribeConsumerGroupsOptions.java,1,4,0,11.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\DescribeConsumerGroupsResult.java,1,3,0,85.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\DescribeDelegationTokenOptions.java,1,4,0,18.25
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\DescribeDelegationTokenResult.java,1,3,0,12.5
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\DescribeFeaturesOptions.java,0,0,0,0.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\DescribeFeaturesResult.java,1,3,0,9.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\DescribeLogDirsOptions.java,0,0,0,0.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\DescribeLogDirsResult.java,1,3,0,185.25
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\DescribeMetadataQuorumOptions.java,0,0,0,0.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\DescribeMetadataQuorumResult.java,1,3,0,12.5
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\DescribeProducersOptions.java,1,4,0,44.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\DescribeProducersResult.java,1,3,0,116.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\DescribeReplicaLogDirsOptions.java,0,0,0,0.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\DescribeReplicaLogDirsResult.java,1,3,0,250.5
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\DescribeTopicsOptions.java,1,4,0,24.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\DescribeTopicsResult.java,1,3,0,174.5
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\DescribeTransactionsOptions.java,1,5,0,11.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\DescribeTransactionsResult.java,1,3,0,106.25
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\DescribeUserScramCredentialsOptions.java,0,0,0,0.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\DescribeUserScramCredentialsResult.java,1,3,0,300.25
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\ElectLeadersOptions.java,0,0,0,0.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\ElectLeadersResult.java,1,3,0,129.5
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\ExpireDelegationTokenOptions.java,1,4,0,11.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\ExpireDelegationTokenResult.java,1,3,0,12.5
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\FeatureMetadata.java,1,7,0,130.25
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\FeatureUpdate.java,1,3,0,166.5
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\FenceProducersOptions.java,1,5,0,13.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\FenceProducersResult.java,1,3,0,63.25
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\FinalizedVersionRange.java,4,11,0,96.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\ForwardingAdmin.java,1,3,0,236.0
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\KafkaAdminClient.java,1,3,0,13277.25
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\ListConsumerGroupOffsetsOptions.java,1,4,0,49.5
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\ListConsumerGroupOffsetsResult.java,1,4,0,114.5
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\ListConsumerGroupOffsetsSpec.java,1,4,0,63.25
./kafka\clients\src\main\java\org\apache\kafka\clients\admin\ListConsumerGroupsOptions.java,2,4,0,20.5
